date,close,high,low,open,volume,sma_5,sma_10,ema_5,ema_10,macd,macd_signal,adx,cci,rsi,willr,stoch_k,stoch_d,bb_h,bb_l,atr,obv,vwap,daily_return,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5
2000-01-03,5375.10986328125,5384.66015625,5209.5400390625,5209.5400390625,0,5411.82587890625,5428.1109375,5375.10986328125,5375.10986328125,-15.330652136755816,76.72669172774886,0.0,-83.24046488082621,46.11966828833089,-64.58869504310562,35.41130495689438,47.090395651287515,5533.795383286603,5296.736501479022,0.0,0,3717.3133138020835,0.0215623318019027,5375.10986328125,5375.10986328125,5375.10986328125,5375.10986328125,5375.10986328125
2000-01-04,5491.009765625,5533.97998046875,5376.43017578125,5533.97998046875,0,5411.82587890625,5428.1109375,5413.7431640625,5396.182572798295,-15.330652136755816,76.72669172774886,0.0,-83.24046488082621,46.11966828833089,-64.58869504310562,35.41130495689438,47.090395651287515,5533.795383286603,5296.736501479022,0.0,0,3717.3133138020835,0.0215623318019027,5375.10986328125,5375.10986328125,5375.10986328125,5375.10986328125,5375.10986328125
2000-01-05,5357.0,5464.35009765625,5184.47998046875,5265.08984375,0,5411.82587890625,5428.1109375,5394.828776041667,5389.05846865315,-15.330652136755816,76.72669172774886,0.0,-83.24046488082621,46.11966828833089,-64.58869504310562,35.41130495689438,47.090395651287515,5533.795383286603,5296.736501479022,0.0,0,3717.3133138020835,-0.0244053045514383,5491.009765625,5375.10986328125,5375.10986328125,5375.10986328125,5375.10986328125
2000-01-06,5421.52978515625,5489.85986328125,5391.330078125,5424.2099609375,0,5411.82587890625,5428.1109375,5403.729112413195,5394.962344380986,-15.330652136755816,76.72669172774886,0.0,-83.24046488082621,46.11966828833089,-64.58869504310562,35.41130495689438,47.090395651287515,5533.795383286603,5296.736501479022,0.0,0,3717.3133138020835,0.012045881119329804,5357.0,5491.009765625,5375.10986328125,5375.10986328125,5375.10986328125
2000-01-07,5414.47998046875,5463.25,5330.580078125,5358.27978515625,0,5411.82587890625,5428.1109375,5407.3127350983805,5398.511005487852,-15.330652136755816,76.72669172774886,0.0,-83.24046488082621,46.11966828833089,-64.58869504310562,35.41130495689438,47.090395651287515,5533.795383286603,5296.736501479022,0.0,0,3717.3133138020835,-0.0013003349546841791,5421.52978515625,5357.0,5491.009765625,5375.10986328125,5375.10986328125
2000-01-10,5518.39013671875,5668.27978515625,5459.97021484375,5617.58984375,0,5440.48193359375,5428.1109375,5444.338535638504,5420.307211166197,-15.330652136755816,76.72669172774886,0.0,-83.24046488082621,46.11966828833089,-64.58869504310562,35.41130495689438,47.090395651287515,5533.795383286603,5296.736501479022,0.0,0,3717.3133138020835,0.019191160854750144,5414.47998046875,5421.52978515625,5357.0,5491.009765625,5375.10986328125
2000-01-11,5296.2998046875,5537.68994140625,5221.27978515625,5513.0400390625,0,5401.53994140625,5428.1109375,5394.99229198817,5397.760409988252,-15.330652136755816,76.72669172774886,0.0,-83.24046488082621,46.11966828833089,-64.58869504310562,35.41130495689438,47.090395651287515,5533.795383286603,5296.736501479022,0.0,0,3717.3133138020835,-0.0402454930747802,5518.39013671875,5414.47998046875,5421.52978515625,5357.0,5491.009765625
2000-01-12,5491.2001953125,5494.2998046875,5267.85009765625,5267.85009765625,0,5428.37998046875,5428.1109375,5427.06159309628,5414.749461865388,-15.330652136755816,76.72669172774886,0.0,-83.24046488082621,46.11966828833089,-64.58869504310562,35.41130495689438,47.090395651287515,5533.795383286603,5296.736501479022,0.0,0,3717.3133138020835,0.03679935007691659,5296.2998046875,5518.39013671875,5414.47998046875,5421.52978515625,5357.0
2000-01-13,5444.81982421875,5652.22021484375,5430.81005859375,5568.64013671875,0,5433.03798828125,5428.1109375,5432.981003470437,5420.216800475089,-15.330652136755816,76.72669172774886,0.0,-83.24046488082621,46.11966828833089,-64.58869504310562,35.41130495689438,47.090395651287515,5533.795383286603,5296.736501479022,0.0,0,3717.3133138020835,-0.008446308538039071,5491.2001953125,5296.2998046875,5518.39013671875,5414.47998046875,5421.52978515625
2000-01-14,5471.27001953125,5476.3798828125,5344.58984375,5460.31005859375,0,5444.39599609375,5428.1109375,5445.744008824042,5429.499203939846,-15.330652136755816,76.72669172774886,0.0,-83.24046488082621,46.11966828833089,-64.58869504310562,35.41130495689438,47.090395651287515,5533.795383286603,5296.736501479022,0.0,0,3717.3133138020835,0.004857864202383544,5444.81982421875,5491.2001953125,5296.2998046875,5518.39013671875,5414.47998046875
